노래제목,좋아요수
Celebrity,"152,646"
밤하늘의 별을(2020),"114,169"
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"162,794"
Dynamite,"379,152"
이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),"28,044"
잠이 오질 않네요,"112,475"
Lovesick Girls,"168,580"
취기를 빌려 (취향저격 그녀 X 산들),"172,391"
힘든 건 사랑이 아니다,"93,105"
에잇(Prod.&Feat. SUGA of BTS),"340,159"
오래된 노래,"212,408"
"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))","90,445"
Life Goes On,"187,601"
나랑 같이 걸을래 (바른연애 길잡이 X 적재),"66,160"
Blueming,"286,307"
화(火花),"55,906"
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),"92,523"
Savage Love (Laxed - Siren Beat) (BTS Remix),"145,848"
혼술하고 싶은 밤,"30,012"
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","332,479"
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,"275,635"
사실 나는 (Feat.전건호),"50,806"
늦은 밤 너의 집 앞 골목길에서,"173,251"
When We Disco (Duet with 선미),"73,026"
I'm Not Cool,"12,325"
어떻게 지내 (Prod. By VAN.C),"143,044"
"모든 날, 모든 순간 (Every day, Every Moment)","357,757"
METEOR,"248,596"
그날에 나는 맘이 편했을까,"24,537"
"CREDIT (Feat. 염따, 기리보이, Zion.T)","50,026"
How You Like That,"169,263"
마음을 드려요,"192,312"
Dolphin,"166,965"
아로하,"209,315"
서면역에서,"41,876"
2002,"349,035"
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),"227,452"
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"409,348"
"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)","55,544"
Memories,"153,903"
밝게 빛나는 별이 되어 비춰줄게,"19,408"
딩가딩가 (Dingga),"58,235"
거짓말이라도 해서 널 보고싶어,"55,788"
우리 왜 헤어져야 해,"98,598"
시작,"202,913"
Freak (Prod. Slom),"58,631"
뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),"48,341"
DON'T TOUCH ME,"159,850"
너의 번호를 누르고 (Prod. 영화처럼),"55,600"
내 손을 잡아,"79,086"
Love poem,"285,356"
봄날,"521,384"
마리아 (Maria),"156,277"
I CAN’T STOP ME,"53,630"
살짝 설렜어 (Nonstop),"166,706"
"ON AIR (Feat. 로꼬, 박재범 & GRAY)","35,035"
사랑은 지날수록 더욱 선명하게 남아,"57,934"
Dance Monkey,"147,283"
Panorama,"51,466"
한잔이면 지워질까,"17,156"
Downtown Baby,"182,299"
홀로,"126,820"
너를 만나,"279,019"
안녕,"184,518"
술 한잔 해요,"3,513"
"사랑 못해, 남들 쉽게 다 하는 거","28,044"
눈누난나 (NUNU NANA),"98,409"
우린 어쩌다 헤어진 걸까,"14,706"
소확행,"34,757"
가을밤에 든 생각,"65,021"
뻔한남자,"39,513"
처음처럼,"101,662"
이제 나만 믿어요,"107,703"
악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),"32,225"
그대 없이 그대와,"10,651"
12:45 (Stripped),"106,002"
Don't Start Now,"129,984"
사랑하게 될 줄 알았어,"131,099"
Paris In The Rain,"240,564"
아무노래,"252,208"
마지막 날에 (Moving On),"9,264"
행복해,"26,429"
잘할게,"22,034"
고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),"26,619"
What Do I Call You,"50,382"
Bad Boy,"58,130"
Black Mamba,"37,344"
별을 담은 시 (Ode To The Stars),"37,779"
추억은 만남보다 이별에 남아,"3,764"
Snowman,"166,514"
Maniac,"116,695"
12월의 어느 겨울…,"14,157"
Your Lights,"13,210"
다시 여기 바닷가,"228,526"
"Rosario (Feat. CL, ZICO)","14,578"
ON,"255,325"
너도 아는,"41,359"
"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)","24,483"
나로 바꾸자 (duet with JYP),"20,029"
놓아줘 (with 태연),"50,418"
